"ID","wf1_group","wf2_group","r_corr","pra_linear","mandel_p_val","concavity","r2_linear","r2_adj_linear","mandel_stats"
"Saturation 065","Poor Linearity","Saturation",0.922551,77.6390430161392,0.0014732982952062,-27.5246727003506,0.8511,0.82132,60.4961263715192
"Saturation 066","Poor Linearity","Saturation",0.90624,68.8749684240459,0.00416150321786033,-27.6147581213411,0.821271,0.785526,34.6603357789694
"Saturation 067","Poor Linearity","Saturation",0.897191,62.3803735564789,0.00280834828961195,-35.2415397692933,0.804951,0.765942,42.907418817292
"Saturation 068","Poor Linearity","Saturation",0.917771,69.4621649560386,0.00195305431347439,-38.0209626863357,0.842304,0.810765,52.1087269534255
"Saturation 069","Poor Linearity","Saturation",0.920308,69.371398721946,0.00233581528218113,-4.64489953355577,0.846967,0.816361,47.3658917350677
"Saturation 070","Poor Linearity","Saturation",0.924579,72.6872779161148,0.00136353013523428,-31.0608716549871,0.854846,0.825815,63.0145843781507
"Saturation 071","Poor Linearity","Saturation",0.913983,70.6942410031857,0.00267267120152079,-23.3418760955915,0.835364,0.802437,44.065651056289
"Saturation 072","Poor Linearity","Saturation",0.910769,72.399228734275,0.00121737541819737,-27.4923978928108,0.8295,0.7954,66.8830255940848
"Saturation 073","Poor Linearity","Saturation",0.926115,77.0899271654516,0.00199801407714639,-18.3621033090632,0.857689,0.829227,51.4817488304014
"Saturation 074","Poor Linearity","Saturation",0.936953,76.2128641985194,0.000684641743960432,-13.0942221486847,0.87788,0.853456,90.2903816240698
"Saturation 075","Poor Linearity","Saturation",0.906247,58.2739987970757,0.00154788802787201,-9.0168294970043,0.821284,0.78554,58.9398972275859
"Saturation 076","Poor Linearity","Saturation",0.928995,76.7912357943089,0.0019789883428288,-18.6371949169901,0.863031,0.835638,51.7444597008098
"Saturation 077","Poor Linearity","Saturation",0.916874,71.798938692095,0.00818349782546978,-8.02999775973734,0.840658,0.808789,23.7765032438681
"Saturation 078","Poor Linearity","Saturation",0.911995,70.6350495429485,0.00382053311742451,-38.607633067578,0.831735,0.798081,36.3175276196556
"Saturation 079","Good Linearity","Good Linearity",0.914165,85.5081601141135,0.0126247544194859,-20.8428359870827,0.835697,0.802836,18.5079559238653
"Saturation 080","Poor Linearity","Saturation",0.910982,75.4040728461256,0.00691405598673029,-34.1936361131916,0.829889,0.795867,26.1547961361977
"Saturation 081","Poor Linearity","Saturation",0.91764,78.6032155212148,0.00247966096718499,-34.9882473766155,0.842063,0.810476,45.8744130711616
"Saturation 082","Poor Linearity","Saturation",0.924621,68.0423961241957,0.00118599557254546,-30.5480313759407,0.854923,0.825908,67.8055566229037
"Saturation 083","Poor Linearity","Saturation",0.896079,69.8706765260869,0.0136475267329542,-5.67525618447781,0.802958,0.76355,17.6769115727101
"Saturation 084","Poor Linearity","Saturation",0.91755,78.8389797032878,0.00402182109949136,-37.3298855401465,0.841897,0.810277,35.3136913004073
"Saturation 085","Poor Linearity","Saturation",0.931791,72.7423132111889,0.000183886950661204,-15.1325980348931,0.868235,0.841882,177.305595545096
"Saturation 086","Poor Linearity","Saturation",0.920849,72.1007143412889,0.00493280270020906,-37.1474942370222,0.847962,0.817555,31.5677464122039
"Saturation 087","Poor Linearity","Saturation",0.900694,56.9744935482062,0.00545834564941761,-14.5935114474284,0.81125,0.7735,29.8476313003816
"Saturation 088","Poor Linearity","Saturation",0.924173,71.6158674954296,0.00138326713670339,-28.1828700261516,0.854096,0.824915,62.5397311864218
"Saturation 089","Poor Linearity","Saturation",0.91881,78.5098830360852,0.00432220818793063,-19.3701902685181,0.844211,0.813053,33.9482012618054
"Saturation 090","Poor Linearity","Saturation",0.917137,73.8952036479954,0.00508897319775924,-30.2335413954564,0.841141,0.809369,31.0288446476852
"Saturation 091","Poor Linearity","Saturation",0.919937,75.6074915263045,0.00275542647390489,-14.7696585796851,0.846285,0.815542,43.3490065291711
"Saturation 092","Poor Linearity","Saturation",0.914738,69.9603230077384,0.00227022763385618,-28.9714871953746,0.836746,0.804095,48.0925475131735
"Saturation 093","Poor Linearity","Saturation",0.900766,79.3735217185469,0.015049858968283,-0.509694497329277,0.811379,0.773655,16.6784614704749
"Saturation 094","Poor Linearity","Saturation",0.908164,77.7801368960398,0.00529639764859229,-31.6738761170556,0.824762,0.789714,30.3502904917234
"Saturation 095","Poor Linearity","Saturation",0.921541,65.66661008321,0.000280678352388756,-5.87542711968103,0.849237,0.819085,142.880432279761
"Saturation 096","Poor Linearity","Saturation",0.910506,77.0590900830338,0.00458011627677685,-8.41640466831828,0.829022,0.794826,32.8847006354454
"Saturation 097","Poor Linearity","Saturation",0.90207,65.5577082967291,0.00526207134174283,-0.846433542600338,0.813731,0.776477,30.4598050341831
"Saturation 098","Poor Linearity","Saturation",0.930012,78.7908348034301,0.00161832849851659,-12.7895472293426,0.864923,0.837908,57.5701630997907
"Saturation 099","Poor Linearity","Saturation",0.919902,76.6802442450633,0.00209732716441691,-1.50276472464654,0.84622,0.815465,50.1689705990786
"Saturation 100","Poor Linearity","Saturation",0.914858,71.4731819713742,0.00336007918548277,-32.1421928349394,0.836965,0.804358,38.944290205894
"Saturation 101","Poor Linearity","Saturation",0.893275,59.7130397893252,0.00567018319535832,-10.767841258616,0.79794,0.757528,29.2229358002822
"Saturation 102","Poor Linearity","Saturation",0.907573,68.7863961038401,0.00234419617029972,-29.0786870651694,0.823688,0.788425,47.2752430112443
"Saturation 103","Poor Linearity","Saturation",0.91112,68.6012999359308,0.00268198537243643,-38.9202448536729,0.830139,0.796167,43.9833384220559
"Saturation 104","Poor Linearity","Saturation",0.912521,76.9743609153105,0.00275240008220835,-30.7460666827697,0.832694,0.799233,43.3746436160541
"Saturation 105","Poor Linearity","Saturation",0.915621,71.5111983308144,0.00177520324132206,-26.0765377494372,0.838362,0.806035,54.8182223070213
"Saturation 106","Poor Linearity","Saturation",0.906524,63.7871104607229,0.00176841308901909,-15.8832986709958,0.821785,0.786142,54.9297002053081
"Saturation 107","Good Linearity","Good Linearity",0.916603,87.5532823525539,0.0178263287767724,-7.81400550726537,0.840161,0.808193,15.062064662872
"Saturation 108","Poor Linearity","Saturation",0.927021,70.4409569990336,0.000524018476635875,-32.4466463118059,0.859368,0.831241,103.67912921869
"Saturation 109","Poor Linearity","Saturation",0.930486,71.5806699497626,0.00106331756943226,-16.1786749766594,0.865804,0.838965,71.7959943419484
"Saturation 110","Poor Linearity","Saturation",0.914041,78.1582832114581,0.00636989303661954,-7.24954366553114,0.835471,0.802565,27.38603745776
"Saturation 111","Poor Linearity","Saturation",0.93002,72.8492993698264,0.000744066628743883,-5.02703164174858,0.864938,0.837926,86.474726326224
"Saturation 112","Poor Linearity","Saturation",0.921898,77.2593410080035,0.00238147549279863,-4.13081607705497,0.849896,0.819875,46.877841746044
"Saturation 113","Poor Linearity","Saturation",0.903235,74.8715078717082,0.00785659292758288,-28.7811484992153,0.815833,0.779,24.3334014406051
"Saturation 114","Poor Linearity","Saturation",0.932523,72.3526887274574,0.00159812983927991,-0.750291980692786,0.869599,0.843519,57.9536541808443
"Saturation 115","Good Linearity","Good Linearity",0.915065,81.1406720596001,0.00692599851473168,-34.2422699969734,0.837344,0.804813,26.1294145302027
"Saturation 116","Poor Linearity","Saturation",0.892585,60.309012358289,0.00655015325751483,-13.7408839906862,0.796708,0.75605,26.9612045267597
"Saturation 117","Poor Linearity","Saturation",0.932187,75.7403893687243,0.000934153546328337,-7.75577329523492,0.868973,0.842768,76.8204181951683
"Saturation 118","Poor Linearity","Saturation",0.92694,72.2620280376072,0.0006905965240169,-13.8176956126217,0.859218,0.831062,89.8859438214613
"Saturation 119","Poor Linearity","Saturation",0.918951,67.6170072904853,0.00125921792439717,-10.5755617450797,0.844472,0.813366,65.7069752622515
"Saturation 120","Poor Linearity","Saturation",0.897382,68.4251267789289,0.00333542787838889,-40.6576212918835,0.805294,0.766353,39.1000813380733
"Saturation 121","Poor Linearity","Saturation",0.922971,67.0192876146748,0.000939987663881933,-14.3310591358965,0.851876,0.822251,76.5713568270098
"Saturation 122","Poor Linearity","Saturation",0.932767,73.8070588797328,0.000767000693142525,-0.511220642224242,0.870055,0.844066,85.1221511875384
"Saturation 123","Poor Linearity","Saturation",0.910495,65.5469475235361,0.00370182748753983,-21.6249046168195,0.829001,0.794801,36.9475475539639
